,school,test_optional,class_years,policy_details,number_of_applicants_int,acceptance_rate_float,sat_total_middle_range,act_total_middle_range,policy_check,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
5,California Institute of Technology,Yes (TB),2021 2022,CalTech has adopted a two-year Test Blind policy meaning it will not consider standardized test scores beginning with the 2020-21 admissions cycle. It will not consider the optional SAT Essay or ACT Writing Test or SAT Subject Test scores. CalTech does not offer merit-based aid.,8367,0.064,​​ 1530-1560,35-36,Yes,,1560.0,35.0,36.0
24,University of California—Los Angeles,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,111322,0.12300000000000001,1290-1510,27-34,Yes,1290.0,1510.0,27.0,34.0
26,University of Southern California,Yes,2021,USC has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,64352,0.13,1350-1530,30-34,Yes,1350.0,1530.0,30.0,34.0
33,University of California—Berkeley,Yes (TB),2021 2022 2023 2024,Cal has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,89621,0.14800000000000002,1300-1530,28-34,Yes,1300.0,1530.0,28.0,34.0
60,University of California—Irvine,Yes (TB),2021 2022 2023 2024,UCI has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,95568,0.265,1180-1440,--,Yes,1180.0,1440.0,,
65,California State Polytechnic University—San Luis Obispo,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,54072,0.284,1250-1420,26-32,Yes,1250.0,1420.0,26.0,32.0
69,University of California—Santa Barbara,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,93457,0.29600000000000004,1260-1460,25-33,Yes,1260.0,1460.0,25.0,33.0
72,University of California—San Diego,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,97901,0.302,1250-1470,26-33,Yes,1250.0,1470.0,26.0,33.0
101,California State University Los Angeles,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,39854,0.39,890-1080,15-20,Yes,890.0,1080.0,15.0,20.0
102,California State University Long Beach,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,71297,0.39299999999999996,1040-1250,20-26,Yes,1040.0,1250.0,20.0,26.0
108,University of California—Davis,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,76647,0.41200000000000003,1150-1410,25-31,Yes,1150.0,1410.0,25.0,31.0
143,University of California—Santa Cruz,Yes (TB),2021 2022 2023 2024,UCSC has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,55906,0.515,1200-1360,24-30,Yes,1200.0,1360.0,24.0,30.0
145,California State University Fullerton,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,50105,0.527,1030-1200,19-24,Yes,1030.0,1200.0,19.0,24.0
155,California State Polytechnic University Pomona,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36660,0.555,1030-1250,19-27,Yes,1030.0,1250.0,19.0,27.0
160,University of California Riverside,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,49788,0.5670000000000001,1130-1340,24-30,Yes,1130.0,1340.0,24.0,30.0
173,California State University Fresno,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,18122,0.579,950-1130,16-22,Yes,950.0,1130.0,16.0,22.0
180,California State University Northridge,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,30637,0.593,910-1130,16-22,Yes,910.0,1130.0,16.0,22.0
246,California State University San Bernardino,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16307,0.6859999999999999,910-1090,15-19,Yes,910.0,1090.0,15.0,19.0
266,California Lutheran University,Yes,Permanent,California Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission and test scores are required to qualify for some merit scholarships.,5752,0.715,1070-1250,21-26,Yes,1070.0,1250.0,21.0,26.0
269,University of California—Merced,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,25368,0.72,980-1180,17-22,Yes,980.0,1180.0,17.0,22.0
275,California State University Chico,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,25908,0.723,990-1180,18-24,Yes,990.0,1180.0,18.0,24.0
299,California State University Monterey Bay,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,12327,0.753,960-1170,17-23,Yes,960.0,1170.0,17.0,23.0
335,St. Mary's College of California,Yes,Permanent,St. Mary's offers a test optional policy which allows students to be considered for admission without test scores. However student-athletes homeschooled students and students attending schools that don't give grades must provide test scores.,6069,0.81,1070-1240,22-28,Yes,1070.0,1240.0,22.0,28.0
347,California State University Sacramento,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,27576,0.823,940-1140,16-22,Yes,940.0,1140.0,16.0,22.0
