,school,test_optional,class_years,policy_details,number_of_applicants_int,acceptance_rate_float,sat_total_middle_range,act_total_middle_range,policy_check,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile,high_school_gpa_middle_range,gpa_25th_percentile,gpa_75th_percentile
0,University of California Los Angeles,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,111322,0.12300000000000001,1290-1510,27-34,Yes,1290.0,1510.0,27.0,34.0,4.19-4.32,4.19,4.32
1,University of California Berkeley,Yes (TB),2021 2022 2023 2024,Cal has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,89621,0.14800000000000002,1300-1530,28-34,Yes,1300.0,1530.0,28.0,34.0,4.12-4.30,4.12,4.3
2,University of California Irvine,Yes (TB),2021 2022 2023 2024,UCI has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,95568,0.265,1180-1440,--,Yes,1180.0,1440.0,,,3.96-4.26,3.96,4.26
3,University of California Santa Barbara,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,93457,0.29600000000000004,1260-1460,25-33,Yes,1260.0,1460.0,25.0,33.0,4.10-4.29,4.1,4.29
4,University of California San Diego,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,97901,0.302,1250-1470,26-33,Yes,1250.0,1470.0,26.0,33.0,4.07-4.29,4.07,4.29
5,University of California Davis,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,76647,0.41200000000000003,1150-1410,25-31,Yes,1150.0,1410.0,25.0,31.0,3.95-4.25,3.95,4.25
6,University of California Santa Cruz,Yes (TB),2021 2022 2023 2024,UCSC has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,55906,0.515,1200-1360,24-30,Yes,1200.0,1360.0,24.0,30.0,3.81-4.20,3.81,4.2
7,University of California Riverside,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,49788,0.5670000000000001,1130-1340,24-30,Yes,1130.0,1340.0,24.0,30.0,3.7-4.13,3.7,4.13
8,University of California Merced,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,25368,0.72,980-1180,17-22,Yes,980.0,1180.0,17.0,22.0,3.39-4.00,3.39,4.0
